date,state_id,temp_max_C,temp_min_C,precipitation_mm,snowfall_cm,snow_depth_cm,rolling_mean_temp_30d,temp_diff_7d
2011-01-29,CA,18.1,6.1,0.0,0.0,0.0,12.1,0.0
2011-01-30,CA,13.1,7.6,1.0,0.0,0.0,11.23,0.0
2011-01-31,CA,18.9,4.3,0.0,0.0,0.0,11.35,0.0
2011-02-01,CA,17.2,4.9,0.0,0.0,0.0,11.28,0.0
2011-02-02,CA,16.4,2.1,0.0,0.0,0.0,10.87,0.0
2011-02-03,CA,17.9,1.6,0.0,0.0,0.0,10.68,0.0
2011-02-04,CA,20.7,3.0,0.0,0.0,0.0,10.85,0.0
2011-02-05,CA,21.8,6.6,0.0,0.0,0.0,11.27,2.1
2011-02-06,CA,25.6,7.8,0.0,0.0,0.0,11.87,6.35
2011-02-07,CA,24.3,8.5,0.0,0.0,0.0,12.32,4.8
2011-02-08,CA,19.4,8.6,0.0,0.0,0.0,12.48,2.95
2011-02-09,CA,20.2,4.1,0.0,0.0,0.0,12.45,2.9
2011-02-10,CA,21.3,4.3,0.0,0.0,0.0,12.48,3.05
2011-02-11,CA,24.3,4.7,0.0,0.0,0.0,12.62,2.65
2011-02-12,CA,26.6,6.9,0.0,0.0,0.0,12.9,2.55
2011-02-13,CA,23.2,7.1,0.0,0.0,0.0,13.04,-1.55
2011-02-14,CA,18.1,6.7,0.0,0.0,0.0,13.0,-4.0
2011-02-15,CA,15.7,10.0,1.4,0.0,0.0,12.99,-1.15
2011-02-16,CA,14.0,8.4,6.9,0.0,0.0,12.9,-0.95
2011-02-17,CA,12.9,3.4,0.0,0.0,0.0,12.66,-4.65
2011-02-18,CA,15.0,5.9,21.4,0.0,0.0,12.55,-4.05
2011-02-19,CA,11.2,6.3,11.5,0.0,0.0,12.38,-8.0
2011-02-20,CA,14.1,2.0,0.4,0.0,0.0,12.19,-7.1
2011-02-21,CA,13.5,3.7,0.0,0.0,0.0,12.04,-3.8
2011-02-22,CA,14.7,4.2,0.0,0.0,0.0,11.94,-3.4
2011-02-23,CA,13.5,3.6,0.0,0.0,0.0,11.81,-2.65
2011-02-24,CA,13.4,4.5,0.0,0.0,0.0,11.7,0.8
2011-02-25,CA,11.2,5.5,10.5,0.0,0.0,11.58,-2.1
2011-02-26,CA,10.6,2.2,13.6,0.0,0.0,11.41,-2.35
2011-02-27,CA,13.2,-0.8,0.0,0.0,0.0,11.23,-1.85
2011-02-28,CA,16.8,0.9,0.0,0.0,0.0,11.12,0.25
2011-03-01,CA,16.3,3.0,0.0,0.0,0.0,11.1,0.2
2011-03-02,CA,15.1,4.7,0.4,0.0,0.0,11.04,1.35
2011-03-03,CA,18.7,9.9,0.0,0.0,0.0,11.15,5.35
2011-03-04,CA,23.1,6.9,0.0,0.0,0.0,11.34,6.65
2011-03-05,CA,24.9,8.1,0.0,0.0,0.0,11.57,10.1
2011-03-06,CA,18.3,8.7,0.0,0.0,0.0,11.62,7.3
2011-03-07,CA,16.2,10.0,1.0,0.0,0.0,11.59,4.25
2011-03-08,CA,21.5,6.2,0.0,0.0,0.0,11.49,4.2
2011-03-09,CA,26.7,8.3,0.0,0.0,0.0,11.53,7.6
