date,state_id,temp_max_C,temp_min_C,precipitation_mm,snowfall_cm,snow_depth_cm,rolling_mean_temp_30d,temp_diff_7d
2011-01-29,TX,22.6,6.8,0.0,0.0,0.0,14.7,0.0
2011-01-30,TX,21.0,9.1,0.1,0.0,0.0,14.88,0.0
2011-01-31,TX,14.3,7.5,1.3,0.0,0.0,13.55,0.0
2011-02-01,TX,10.5,-8.5,18.3,1.68,2.0,10.41,0.0
2011-02-02,TX,-4.3,-9.5,0.0,0.0,2.0,6.95,0.0
2011-02-03,TX,-2.0,-8.5,0.0,0.0,1.0,4.92,0.0
2011-02-04,TX,-2.5,-7.9,5.0,3.64,5.0,3.47,0.0
2011-02-05,TX,12.4,-9.2,0.0,0.0,5.0,3.24,-13.1
2011-02-06,TX,12.0,1.6,0.0,0.0,4.0,3.63,-8.25
2011-02-07,TX,9.2,1.0,0.1,0.0,2.0,3.78,-5.8
2011-02-08,TX,11.8,-0.0,0.0,0.0,1.0,3.97,4.9
2011-02-09,TX,7.4,-6.2,9.5,3.43,3.0,3.69,7.5
2011-02-10,TX,1.1,-7.8,0.0,0.0,3.0,3.15,1.9
2011-02-11,TX,10.8,-5.1,0.0,0.0,3.0,3.13,8.05
2011-02-12,TX,17.0,-2.4,0.0,0.0,2.0,3.41,5.7
2011-02-13,TX,20.1,4.2,0.0,0.0,1.0,3.95,5.35
2011-02-14,TX,20.4,7.3,0.0,0.0,0.0,4.54,8.75
2011-02-15,TX,23.3,12.7,0.0,0.0,0.0,5.28,12.1
2011-02-16,TX,22.2,14.7,0.1,0.0,0.0,5.98,17.85
2011-02-17,TX,22.9,16.2,0.1,0.0,0.0,6.65,22.9
2011-02-18,TX,26.2,16.3,0.0,0.0,0.0,7.35,18.4
2011-02-19,TX,23.2,14.0,0.0,0.0,0.0,7.86,11.3
2011-02-20,TX,23.0,15.4,0.1,0.0,0.0,8.35,7.05
2011-02-21,TX,24.8,10.7,0.0,0.0,0.0,8.75,3.9
2011-02-22,TX,18.2,5.3,0.8,0.0,0.0,8.87,-6.25
2011-02-23,TX,19.9,14.2,2.1,0.0,0.0,9.18,-1.4
2011-02-24,TX,25.8,14.2,7.6,0.0,0.0,9.58,0.45
2011-02-25,TX,13.1,3.4,0.0,0.0,0.0,9.53,-13.0
2011-02-26,TX,22.6,6.7,0.0,0.0,0.0,9.71,-3.95
2011-02-27,TX,24.9,17.1,0.5,0.0,0.0,10.09,1.8
2011-02-28,TX,20.9,10.3,1.2,0.0,0.0,10.12,-2.15
2011-03-01,TX,19.1,4.3,0.0,0.0,0.0,10.0,-0.05
2011-03-02,TX,21.6,7.4,0.0,0.0,0.0,10.12,-2.55
2011-03-03,TX,23.2,9.7,0.0,0.0,0.0,10.64,-3.55
2011-03-04,TX,22.8,14.8,0.0,0.0,0.0,11.5,10.55
2011-03-05,TX,16.4,7.7,6.1,0.0,0.0,12.07,-2.6
2011-03-06,TX,15.6,1.5,0.0,0.0,0.0,12.53,-12.45
2011-03-07,TX,17.2,8.0,0.0,0.0,0.0,12.9,-3.0
2011-03-08,TX,26.8,14.3,1.5,0.0,0.0,13.36,8.85
2011-03-09,TX,17.2,9.6,0.0,0.0,0.0,13.63,-1.1
2011-03-10,TX,17.8,5.8,0.0,0.0,0.0,13.83,-4.65
2011-03-11,TX,23.7,7.9,0.0,0.0,0.0,14.34,-3.0
2011-03-12,TX,25.7,11.6,0.0,0.0,0.0,15.07,6.6
2011-03-13,TX,23.2,14.9,0.0,0.0,0.0,15.61,10.5
2011-03-14,TX,20.0,8.6,4.2,0.0,0.0,15.84,1.7
2011-03-15,TX,17.3,4.7,0.0,0.0,0.0,15.8,-9.55
2011-03-16,TX,22.0,11.7,0.1,0.0,0.0,15.9,3.45
2011-03-17,TX,27.6,16.8,0.0,0.0,0.0,16.04,10.4
2011-03-18,TX,28.9,17.0,0.0,0.0,0.0,16.2,7.15
2011-03-19,TX,28.0,17.5,0.0,0.0,0.0,16.3,4.1
2011-03-20,TX,26.5,16.7,0.0,0.0,0.0,16.31,2.55
2011-03-21,TX,27.9,16.7,0.0,0.0,0.0,16.44,8.0
2011-03-22,TX,27.5,17.5,0.0,0.0,0.0,16.55,11.5
2011-03-23,TX,26.9,17.9,0.0,0.0,0.0,16.7,5.55
2011-03-24,TX,26.1,12.6,0.0,0.0,0.0,16.96,-2.85
2011-03-25,TX,28.3,17.3,0.1,0.0,0.0,17.15,-0.15
2011-03-26,TX,30.4,15.4,0.0,0.0,0.0,17.24,0.15
2011-03-27,TX,14.5,9.9,7.7,0.0,0.0,17.38,-9.4
