date,state_id,temp_max_C,temp_min_C,precipitation_mm,snowfall_cm,snow_depth_cm,rolling_mean_temp_30d,temp_diff_7d
2011-01-29,WI,-1.2,-3.6,1.3,1.19,5.0,-2.4,0.0
2011-01-30,WI,-3.9,-10.3,0.0,0.21,5.0,-4.75,0.0
2011-01-31,WI,-7.1,-10.5,1.4,1.19,5.0,-6.1,0.0
2011-02-01,WI,-7.6,-9.5,7.0,4.97,7.0,-6.71,0.0
2011-02-02,WI,-7.8,-11.8,14.3,10.15,10.0,-7.33,0.0
2011-02-03,WI,-9.0,-16.1,0.0,0.0,10.0,-8.2,0.0
2011-02-04,WI,-5.0,-12.5,0.0,0.0,9.0,-8.28,0.0
2011-02-05,WI,-2.9,-10.5,0.0,0.0,9.0,-8.08,-4.3
2011-02-06,WI,-1.4,-7.2,4.0,2.94,10.0,-7.66,2.8
2011-02-07,WI,-4.4,-10.9,0.0,0.14,10.0,-7.66,1.15
2011-02-08,WI,-11.0,-16.8,0.1,0.28,10.0,-8.23,-5.35
2011-02-09,WI,-11.8,-16.9,0.0,0.0,10.0,-8.74,-4.55
2011-02-10,WI,-11.5,-20.9,0.0,0.0,10.0,-9.31,-3.65
2011-02-11,WI,-4.2,-17.1,0.0,0.0,9.0,-9.41,-1.9
2011-02-12,WI,0.6,-3.6,0.1,0.21,9.0,-8.88,5.2
2011-02-13,WI,5.2,-1.6,0.0,0.0,9.0,-8.21,6.1
2011-02-14,WI,3.8,-3.6,0.0,0.0,8.0,-7.72,7.75
2011-02-15,WI,2.1,-5.4,0.8,0.0,7.0,-7.39,12.25
2011-02-16,WI,3.1,1.8,0.5,0.0,6.0,-6.87,16.8
2011-02-17,WI,7.5,3.1,0.9,0.0,4.0,-6.26,21.5
2011-02-18,WI,7.0,-1.8,0.0,0.0,0.0,-5.84,13.25
2011-02-19,WI,-2.5,-7.2,0.0,0.0,0.0,-5.79,-3.35
2011-02-20,WI,-0.8,-7.5,25.0,11.34,4.0,-5.72,-5.95
2011-02-21,WI,-2.0,-8.9,7.2,3.64,4.0,-5.71,-5.55
2011-02-22,WI,-5.7,-10.2,3.4,2.45,5.0,-5.8,-6.3
2011-02-23,WI,-1.0,-7.3,1.3,0.98,5.0,-5.74,-6.6
2011-02-24,WI,0.7,-2.5,0.0,0.07,5.0,-5.56,-6.2
2011-02-25,WI,-2.6,-6.0,1.1,1.19,5.0,-5.51,-6.9
2011-02-26,WI,-5.8,-10.2,1.5,1.4,6.0,-5.6,-3.15
2011-02-27,WI,-0.2,-6.9,0.0,0.21,6.0,-5.53,0.6
2011-02-28,WI,-0.5,-5.3,0.1,0.21,6.0,-5.55,2.55
2011-03-01,WI,3.9,-7.8,0.0,0.0,6.0,-5.38,6.0
2011-03-02,WI,0.7,-9.7,0.0,0.0,5.0,-5.23,-0.35
2011-03-03,WI,1.6,-8.9,0.0,0.0,5.0,-5.07,-2.75
2011-03-04,WI,1.7,-0.2,11.2,0.0,4.0,-4.72,5.05
2011-03-05,WI,0.2,-5.4,4.1,2.17,4.0,-4.38,5.4
2011-03-06,WI,-3.5,-9.8,0.0,0.0,4.0,-4.31,-3.1
2011-03-07,WI,-0.4,-8.1,0.0,0.0,4.0,-4.23,-1.35
2011-03-08,WI,1.2,-3.7,0.0,0.0,3.0,-4.13,0.7
2011-03-09,WI,1.2,-0.4,9.9,5.74,4.0,-3.86,4.9
2011-03-10,WI,1.8,-1.6,0.0,0.0,4.0,-3.4,3.75
2011-03-11,WI,3.8,-4.7,0.0,0.0,3.0,-2.93,-1.2
2011-03-12,WI,2.1,-0.7,0.0,0.0,3.0,-2.37,3.3
2011-03-13,WI,1.2,-2.5,0.0,0.0,2.0,-2.04,6.0
2011-03-14,WI,0.8,-6.0,0.0,0.0,2.0,-2.07,1.65
